id,date,sender,text,clearedmsg
223,2018-03-24 20:10:35+08:00,NTUFreeFood,"until 930pm at yuhua cc (chinese garden mrt) there is a lot (at least 2 full plates of all) + drinks   damn delish also: lotus leaf rice with lotus seeds and dates, tofu with enoki mushroom, broccoli, spicy mock squid rings, mock pork with longan and pineapple",-2
227,2018-03-26 19:09:03+08:00,NTUFreeFood,[cleared] outside lt6. honey chicken drumlet and egg mayo sandwiches. clear by 8pm,-2
228,2018-03-27 19:59:30+08:00,PeerUser(user_id=387657468),free food at theatre at nest clearing in 15 mins,-2
230,2018-03-27 22:29:54+08:00,PeerUser(user_id=313557092),hello  tr25 at hive got beehoon    just beehoon though. they are clearing now and got a lot left ):,-2
232,2018-03-28 17:16:55+08:00,PeerUser(user_id=48628073),hi all a lot of extra food at hive level 1 ,-2
234,2018-03-28 20:14:01+08:00,NTUFreeFood,"espace n4.1-b2: samosas, cocktail fruits, stir fried prawn, curry chicken, mushroom broccoli, beehoon",-2
235,2018-03-28 20:23:09+08:00,NTUFreeFood,"at nanyang executive centre level 3, to be cleared around 9pm",-2
242,2018-03-28 20:38:23+08:00,NTUFreeFood,food over at b2 of hive  ,-2
243,2018-03-28 21:26:22+08:00,NTUFreeFood,lots of leftovers at sbs foyer  ,-2
244,2018-03-29 18:45:35+08:00,PeerUser(user_id=113638484),"some drinks (water, h2o, apple juice packets), assorted biscuits and raisins at tables behind coffee bean",-2
245,2018-03-31 13:50:55+08:00,PeerUser(user_id=383580637),"free bento   ns canopy k, come get by 2pm ",-2
246,2018-04-02 10:32:47+08:00,NTUFreeFood,at lt9  probably clearing by 1130am,-2
248,2018-04-02 12:56:25+08:00,NTUFreeFood,"the lt9 food still there: salad, fried rice, dessert, drinks, salad, beehoon, veggies",-2
249,2018-04-04 12:23:16+08:00,PeerUser(user_id=48628073),hi all  at north spine: ntusu u-study welfare pack giveaway   free coffee free soft serves first 1500 people get milk tea from sharetea along with welfare packs  from 12:00pm onwards,-2
250,2018-04-04 14:16:19+08:00,PeerUser(user_id=53087310),free food at hive lvl 2,-2
251,2018-04-04 14:16:19+08:00,PeerUser(user_id=53087310),"supposed to clear at 2pm, grab it asap",-2
252,2018-04-04 14:34:42+08:00,PeerUser(user_id=238721177),free ice cream outside lt3,-2
253,2018-04-04 15:04:52+08:00,NTUFreeFood,cleared ,252
254,2018-04-10 13:43:29+08:00,NTUFreeFood,"hi all  date: 11 april 2018, weds time:  12 - 4 pm venue: lt1  interesting talk about food waste w a free tea reception & free bamboo straws  register: http://tinyurl.com/2018-fws",-2
258,2018-04-10 17:48:21+08:00,NTUFreeFood,"porridge, tausuan, fruit cocktail outside lt27",-2
259,2018-04-11 19:34:46+08:00,NTUFreeFood,"hi all  leftovers outside lt1, shld be clearing in about 30mins ",-2
260,2018-04-12 11:27:34+08:00,NTUFreeFood,hi all  there will a free scooped ice cream giving at north spine canopy k 1.45pm   (just like their instagram and facebook page www.facebook.com/72lc) go on down and grab a stick   *while stocks last,-2
261,2018-04-12 14:59:13+08:00,PeerUser(user_id=398000342),free welfare pack   :) there's oreos inside  s4 b2 benches,-2
262,2018-04-15 21:51:19+08:00,NTUFreeFood,hi all  halal food at hive level 3 beside tr 56 :-) ,-2
263,2018-04-17 15:48:04+08:00,PeerUser(user_id=45362116),"hi  there’s snacks (m&m, kitkat, cheese balls, potato chips) provided by ntusu at hive, b5 as part of the u-care event. there’re also stress balls, note books, post its and plastic folders :)",-2
266,2018-04-19 12:45:50+08:00,NTUFreeFood,hi all  leftover halal certified buffet at innovation centre block 1 - until 2.30pm ,-2
267,2018-04-22 19:52:59+08:00,PeerUser(user_id=60092792),there’s free leftover bento boxes with really good food at hive level 3 tr 56,-2
268,2018-05-07 12:58:39+08:00,NTUFreeFood,"hi all, buffet at lt22 south spine, should be clearing at 130pm ",-2
269,2018-05-11 13:34:07+08:00,PeerUser(user_id=383580637),"hi all, there's free food (fish, curry chicken, pineapple fried rice etc) and desserts (tiramisu, cheese tart etc)   abd-b2b-10 (outside psp) until 2pm ",-2
270,2018-05-12 16:56:55+08:00,PeerUser(user_id=420056148),hi guys. theres some food left in spms mas atrium.,-2
271,2018-05-12 17:13:49+08:00,NTUFreeFood,"free food outside lt 23 beehoon, grass jelly, samosa, dumpling, sandwiches, soonkueh, fish filet",-2
273,2018-05-12 18:30:06+08:00,NTUFreeFood,"hi guys  tuna sandwiches (be cautious as these were from the morning), mantous, springrolls, cheesebuns in global lounge (ns next to canopy k stage)",-2
274,2018-05-13 10:17:51+08:00,PeerUser(user_id=129195100),hi guys there’s lee wee & brothers’ nasi lemak at hive lvl 1 lt. do come down to help clear  :),-2
275,2018-05-17 14:20:59+08:00,NTUFreeFood,"hi guys, food getting cleared from n2-01c in about 15 minutes ",-2
276,2018-05-19 16:20:43+08:00,NTUFreeFood,hi   lots of food at hive level 2   food will be clearing at 5   also more outside hss foyer and auditorium,-2
277,2018-05-21 13:38:31+08:00,NTUFreeFood,hi all  nie block 2 has some leftover rice ,-2
278,2018-05-25 16:19:04+08:00,PeerUser(user_id=133611884),london choco rolls at sbs lobby,-2
279,2018-05-26 12:38:14+08:00,PeerUser(user_id=476709421),"bento boxes from mum's kitchen. still warm. at 71 nanyang drive, ntu innovation centre, level 3, s638075.",-2
280,2018-05-26 19:38:31+08:00,NTUFreeFood,"hi guys, food at adm basement ",-2
281,2018-05-27 13:20:56+08:00,PeerUser(user_id=476709421),"bento sets from mum's kitchen. still warm. at 71 nanyang drive, ntu innovation centre. level 3 open area. s638075.",-2
283,2018-06-01 17:43:50+08:00,NTUFreeFood,hi guys  8 tables of food over at nanyang audi level 3 ,-2
284,2018-06-01 17:44:48+08:00,NTUFreeFood,food over at lt2a  clearing at 7pm but only beehoon and kueh left ,-2
285,2018-06-05 16:30:59+08:00,NTUFreeFood,"update: food cleared // hi all, lots of food left at the hive b1 tr+45. clearing at 5pm",-2
286,2018-06-20 13:21:55+08:00,PeerUser(user_id=174525977),"free food in nie tr708, come while stocks last ",-2
287,2018-06-23 13:56:54+08:00,PeerUser(user_id=208049291),free food at koufu  14 boxes. to be cleared by 2.15pm,-2
